manga_id,sentence,select_1,select_2,select_3,select_4,correct_answer
1,この中で暁のメンバーではないのは？,トビ,イタチ,サスケ,サソリ,3
1,ペイン六道の中で相手の術を吸収し、無効化する能力を持っているのは？,餓鬼道,人間道,畜生道,地獄道,1
1,三代目火影が大蛇丸と戦ったときに口寄せしたのは？,ガマ寅,マンダ,猿魔,パックン,3
1,チヨバアの操る白秘技・十機近松の集を生み出した、傀儡の術・初代操演者は？,ゴエモン,カンクロウ,モンザエモン,キンエモン,3
1,この中で穢土転生で生き返らなかったのは？,猿飛アスマ,月光ハヤテ,君麻呂,二代目火影,2
1,この中で作中に存在しないのは？,ハヤイ,サムイ,ダルイ,カルイ,1
1,この中で作中に登場しない国は？,雲の国,鉄の国,波の国,火の国,1
1,ナルトが足繁く通うラーメン屋の名前は？,一蘭,一楽,一庵,一華,2
1,日向一族が持つ血系限界は？,八卦,氷遁,白眼,空掌,3
1,この中で血系淘汰は？,氷遁,嵐遁,溶遁,塵遁,4
1,八門遁甲の第七の門は？,驚門,死門,杜門,景門,1
1,主人公はだれ？,サスケ,ナルト,サクラ,鳴門海峡,2
1,カカシが使えるのはどれ？,写輪眼,輪廻眼,白眼,転生眼,1
1,次のうち、血継限界は？,火遁,水遁,木遁,土遁,3
1,「天照」の読み方は？,カグツチ,スサノオ,ツクヨミ,アマテラス,4
1,しゃーんなろー、が口癖なのは誰？,バラ,ボタン,サクラ,ツバキ,3
1,うちはシスイの右目を奪ったのは誰？,大蛇丸,うちはイタチ,うちはマダラ,ダンゾウ,4
1,うちはイタチが中忍になったのは何歳の時？,7歳,8歳,9歳,10歳,4
1,八尾の本名は？,牛魔王,牛鬼,牛若,牛角,2
1,チヨバアの弟の名は？,ダンジュウロウ,コウシロウ,エビゾウ,シドウ,3
1,チャクラ紙にシワが入った場合、何属性のチャクラを持っていると考えられるか？,雷遁,火遁,土遁,風遁,1
1,綱手のカップ数は何？,G,F,H,I,4
1,マイト・ガイの誕生日は？, １月１日,１２月３１日,２月１４日,７月７日,1
1,サスケの誕生日は？,７月２３日,７月７日,３月３０日,４月１日,1
1,ナルトの作者はどこ出身？,和歌山県,東京都,茨城県,岡山県,4
1,自来也が、ペイン攻略のためにナルトへ宛てた暗号「ホンモノハイナイ」の「ハ」の漢字は？,歯,葉,刃,覇,2
1,ナルトの血液型は？,A,B,O,AB,2
1,雨隠れの里でペインがいると言われていたのはどこ？,北の一番高い塔,南の一番高い塔,東の一番高い塔,西の一番高い塔,1
1,二代目火影の身長は？,180cm,164cm,176cm,182cm,4
1,里のマークは全部で何種類（何里）ある？,8,10,12,14,2